throttle,steer,pitch,yaw,roll,jump,boost,handbrake
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.0,-1.0,-1.0,-0.42717340472873544,1.0,-1.0,-1.0
0.9921875,-0.0,0.0,0.0,0.0,1.0,-1.0,-1.0
0.9921875,-0.4609375,0.0,0.0,0.0,1.0,-1.0,-1.0
0.9921875,-0.9140625,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9296875,0.08192524191771162,1.0,-0.01861210524640136,0.0,-1.0,-1.0
0.9921875,-0.9375,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9375,1.0,1.0,-0.45459069504018346,0.0,-1.0,-1.0
0.9921875,-0.9609375,0.0,0.0,0.0,1.0,-1.0,-1.0
0.9921875,-0.9921875,0.18819659985978365,1.0,-1.0,1.0,-1.0,-1.0
0.9921875,-0.796875,0.0,0.0,0.0,1.0,-1.0,-1.0
0.9921875,-0.5546875,0.0,0.0,0.0,1.0,-1.0,-1.0
0.9921875,-0.453125,-1.0,1.0,-0.13513365474732641,1.0,-1.0,-1.0
0.9921875,-0.40625,0.0,0.0,0.0,1.0,-1.0,-1.0
0.9921875,-0.40625,-0.4482548454534682,-0.2493023394780264,0.9817615862363617,1.0,-1.0,-1.0
0.9921875,-0.40625,0.0,0.0,0.0,1.0,-1.0,-1.0
0.8828125,-0.4140625,-0.5253383983366411,-0.10907039422815107,0.3250481026441887,1.0,-1.0,-1.0
0.7734375,-0.5390625,0.0,0.0,0.0,1.0,-1.0,-1.0
0.6875,-0.7421875,0.0,0.0,0.0,1.0,-1.0,-1.0
0.6875,-0.8671875,-0.41731243338845775,-0.37701443128739454,0.4374092505638421,1.0,-1.0,-1.0
0.7265625,-0.96875,0.0,0.0,0.0,1.0,-1.0,-1.0
0.7734375,-0.9921875,-0.5494951686987439,1.0,0.7799792460210274,1.0,-1.0,-1.0
0.8046875,-0.9921875,0.0,0.0,0.0,1.0,-1.0,1.0
0.828125,-0.9921875,0.0,0.0,0.0,1.0,-1.0,1.0
0.8515625,-0.9921875,-1.0,0.08821879219913978,0.5506344666407655,1.0,-1.0,1.0
0.8984375,-0.9921875,0.0,0.0,0.0,1.0,-1.0,1.0
0.9453125,-0.9921875,-0.4309578663651864,-1.0,0.6427861571428951,0.0,-1.0,1.0
0.9921875,-0.9921875,0.0,0.0,0.0,0.0,-1.0,1.0
0.9921875,-0.9921875,-0.4587535258016588,0.2063966353626922,0.6270837523862393,0.0,-1.0,-1.0
0.9921875,-0.8359375,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.0,-0.18552955685768166,-1.0,0.05664038055473206,0.0,-1.0,-1.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.3046875,1.0,-0.49500985211423576,-0.48985949276587176,0.0,-1.0,-1.0
0.9921875,-0.8046875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,1.0,0.10415350032861546,-0.3157992441861325,0.0,-1.0,-1.0
0.9921875,-0.9921875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,0.0,0.0,0.0,0.0,-1.0,-1.0
0.9921875,-0.9921875,1.0,1.0,-0.15035331136585567,0.0,-1.0,-1.0
